,0,1,2,3,4,5
0,Hsa.3004,H55933,3' UTR,1,203417,H.sapiens mRNA for homologue to yeast ribosomal protein L41.
1,Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus)
2,Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus)
3,Hsa.37254,R85482,3' UTR,2a,180093,SERUM RESPONSE FACTOR (Homo sapiens)
4,Hsa.541,U14973,gene,1,N/A,"""Human ribosomal protein S29 mRNA, complete cds.                                                                                                                                                                                                       """
5,Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus)
6,Hsa.1977,T51496,3' UTR,1,71488,60S RIBOSOMAL PROTEIN L37A (HUMAN).
7,Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens)
8,Hsa.3087,T65938,3' UTR,1,81639,TRANSLATIONALLY CONTROLLED TUMOR PROTEIN (HUMAN);.
9,Hsa.1447,T55131,3' UTR,1,73931,"""GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE, LIVER (HUMAN).                                                                                                                                                                                      """
10,Hsa.750,T72863,3' UTR,1,84277,FERRITIN LIGHT CHAIN (HUMAN);.
11,Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus)
12,Hsa.2555,X63432,gene,1,N/A,H.sapiens ACTB mRNA for mutant beta-actin (beta'-actin).
13,Hsa.467,H20709,3' UTR,1,173155,"""MYOSIN LIGHT CHAIN ALKALI, SMOOTH-MUSCLE ISOFORM (HUMAN);.                                                                                                                                                                                    """
14,Hsa.539,U14971,gene,1,N/A,"""Human ribosomal protein S9 mRNA, complete cds.                                                                                                                                                                                                        """
15,Hsa.2357,T52342,3' UTR,1,72028,Human tra1 mRNA for human homologue of murine tumor rejection antigen gp96.
16,Hsa.474,L28809,gene,1,N/A,"""Homo sapiens dbpB-like protein mRNA, complete cds.                                                                                                                                                                                                    """
17,Hsa.749,T63508,3' UTR,1,81465,FERRITIN HEAVY CHAIN (HUMAN);.
18,Hsa.24464,H09263,3' UTR,2a,46514,ELONGATION FACTOR 1-ALPHA 1 (Homo sapiens)
19,Hsa.2597,T49423,3' UTR,1,67494,BREAST BASIC CONSERVED PROTEIN 1 (HUMAN).
20,Hsa.3835,H79852,3' UTR,2a,239944,60S ACIDIC RIBOSOMAL PROTEIN P2 (Babesia bovis)
21,Hsa.6080,J02763,gene,1,N/A,"""Human calcyclin gene, complete cds.                                                                                                                                                                                                                  """
